1|George Washington|April 30, 1789|March 4, 1797|Independent|https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/800px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg|This president was directly proceeded by the second president
2|John Adams|March 4, 1797|March 4, 1801|Federalist|https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Official_Presidential_portrait_of_John_Adams_%28by_John_Trumbull%2C_circa_1792%29.jpg/800px-Official_Presidential_portrait_of_John_Adams_%28by_John_Trumbull%2C_circa_1792%29.jpg|This president was directly proceeded by the 3rd president
3|Thomas Jefferson|March 4, 1801|March 4, 1809|Democratic-Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg/1280px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg|This president was directly proceeded by the 4th president
4|James Madison|March 4, 1809|March 4, 1817|Democratic-Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Madison.jpg/1024px-James_Madison.jpg|This president was directly proceeded by the 5th president
5|James Monroe|March 4, 1817|March 4, 1825|Democratic-Republican|https://upload.wikimedia.org/wikipedia/commons/9/95/James_Monroe_White_House_portrait_1819.gif|This president was directly proceeded by the 6th president
6|John Quincy Adams|March 4, 1825|March 4, 1829|Democratic-Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/JQA_Photo.tif/lossy-page1-800px-JQA_Photo.tif.jpg|This president was directly proceeded by the 7th president
7|Andrew Jackson|March 4, 1829|March 4, 1837|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Andrew_Jackson_Daguerrotype-crop.jpg/800px-Andrew_Jackson_Daguerrotype-crop.jpg|This president was directly proceeded by the 8th president
8|Martin Van Buren|March 4, 1837|March 4, 1841|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Martin_Van_Buren_edit.jpg/800px-Martin_Van_Buren_edit.jpg|This president was directly proceeded by the 9th president
9|William Henry Harrison|March 4, 1841|April 4, 1841|Whig|https://upload.wikimedia.org/wikipedia/commons/c/c5/William_Henry_Harrison_daguerreotype_edit.jpg|This president was directly proceeded by the 10th president
10|John Tyler|April 4, 1841|March 4, 1845|Whig|https://upload.wikimedia.org/wikipedia/commons/2/2f/Tyler_Daguerreotype_crop_%28restoration%29.jpg|This president was directly proceeded by the 11th president
11|James Knox Polk|March 4, 1845|March 4, 1849|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/JKP.tif/lossy-page1-800px-JKP.tif.jpg|This president was directly proceeded by the 12th president
12|Zachary Taylor|March 4, 1849|July 9, 1850|Whig|https://upload.wikimedia.org/wikipedia/commons/a/a6/Zachary_Taylor_restored_and_cropped.png|This president was directly proceeded by the 13th president
13|Millard Fillmore|July 9, 1850|March 4, 1853|Whig|https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Millard_Fillmore_by_Brady_Studio_1855-65-crop.jpg/800px-Millard_Fillmore_by_Brady_Studio_1855-65-crop.jpg|This president was directly proceeded by the 14th president
14|Franklin Pierce|March 4, 1853|March 4, 1857|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Franklin_Pierce_-_1.jpg/800px-Franklin_Pierce_-_1.jpg|This president was directly proceeded by the 15th president
15|James Buchanan|March 4, 1857|March 4, 1861|Democrat|https://upload.wikimedia.org/wikipedia/commons/f/fd/James_Buchanan.jpg|This president was directly proceeded by the 16th president
16|Abraham Lincoln|March 4, 1861|April 15, 1865|Republican|https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Abraham_Lincoln_O-116_by_Gardner%2C_1865-crop.png/800px-Abraham_Lincoln_O-116_by_Gardner%2C_1865-crop.png|This president was directly proceeded by the 17th president
17|Andrew Johnson|April 15, 1865|March 4, 1869|Democrat|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg/800px-Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg|This president was directly proceeded by the 18th president
